id,tanggal,platform,topik,teks
86,4 hours ago,YouTube,Makan Bergizi Gratis,"Alhamdulillah berita seperti ini tetap ada, tidak malah dibungkam, tetap bisa menyuarakan 👏"
87,4 hours ago (edited),YouTube,Makan Bergizi Gratis,"MBG adalah tempatnya koropsi yg paling nyata ,karena minim banget pengawasan"
88,4 hours ago,YouTube,Makan Bergizi Gratis,"Kasihan keluarganya yg ikut program mbg menanghung dosa2 7 turunan,akibat ulah2 pemimpin yh serakah😊"
89,5 hours ago,YouTube,Makan Bergizi Gratis,"1. Korupsi pengadaan
2. Penjualan titik
3. SPPG fiktif. 
4. Spek SPPG yg tdk sesuai

4 item ini pasti di lalukan oleh ordal  harusnya ini bisa cepat ditindaklanjuti. 

Yayasan/Mitra nya gampang sekali utk dicari

4. Menu yang tek sesuai

Cek Mitra/yayasan dan Ka/AG dam AK nya. 

Jangan sampai SPPG yg amanah jadi kena imbasnya"
90,5 hours ago (edited),YouTube,Makan Bergizi Gratis,"Inti nya pemerintahan prabowo adalah  pemerintahan terkorup dalam sejarah indonesia, bahkan terangan terangan dan besar besaran juga ugel ugelan.. 

Mampu kah indonesia bertahan jika berjalan 2 periode

Daerah jakarta banyak SPPG yang baru dibuka, coba lah kirim petugasnya yang jujur untuk mengecek fakta di lapangan, apakah anak anak di jakarta banyak yang  terkena stunting ??? Kenapa kota sebesar jakarta juga banyak sekali SPPG..???

Ayoolah pak mohon hentikan MBG dan KMP nya. Selamatkan rakyat indonesia dari kehancuran ekonomi."
91,5 hours ago,YouTube,Makan Bergizi Gratis,"Pemerintah sudah Tuli, Bisu dan tertutup mata Hati-nya sehingga Negeri ini menuju kehancuran😡"
92,5 hours ago,YouTube,Makan Bergizi Gratis,Mbg kok ada investornya.. yg jelas ini bisnis bukan program bantuan....
93,5 hours ago,YouTube,Makan Bergizi Gratis,PROGRAM GERAKAN GEROMBOLAN DAJJAL PEMERINTAH MBG TOPENG YNG SANGAT TERANG BENDERANG PERAMPOKAN SELURUH KEKAYAAN NEGARA .UANG NEGARA DAN UANG RAKYAT STOP MBG.
94,5 hours ago,YouTube,Makan Bergizi Gratis,ayo masyarakat bangkit sadar dan awasi betul betul sppg yg ada di lingkungan masing masing... viral kan
95,5 hours ago,YouTube,Makan Bergizi Gratis,Dan presiden nya bilang Emang Gua Pikirin
96,5 hours ago,YouTube,Makan Bergizi Gratis,"Padahal tata kelola MBG sudah dikritik habis-habisan dari awal dilaksanakan, bahwa rawan korupsi, rawan diselewengkan, rawan KKN. Kan sekarang ketahuan, ada korupsi, dapur fiktif dan penyelewengan tata kelola. Pemimpin yang Ngeyel, egonya tinggi beginilah."
97,5 hours ago,YouTube,Makan Bergizi Gratis,"Tuhan, tolong selamatkan Indonesia..."
98,5 hours ago,YouTube,Makan Bergizi Gratis,Nasi di buang saja dana cair😂😂😂
99,5 hours ago,YouTube,Makan Bergizi Gratis,MBG paling enak buat KORUPTOR
100,5 hours ago,YouTube,Makan Bergizi Gratis,Makanya jgn menyalahkan mahasiswa demo krn mbg d.korosi besara2ran bru 2tahun sdh korosi s.bessar ini  makanya pemerentah skrang ambuar adull 😭😭😭😭😭😭😭
101,5 hours ago,YouTube,Makan Bergizi Gratis,Program MBG ini adalah tempat ladang korupsi...bu 5:58
102,5 hours ago,YouTube,Makan Bergizi Gratis,yg diuntungkan dari MBG adalah Prabowo dan kroni2 nya
103,5 hours ago,YouTube,Makan Bergizi Gratis,Bubarkan mbg
104,5 hours ago,YouTube,Makan Bergizi Gratis,"Kami emak dr anak yg menerima MBG setuju pendpt pakar itu,sangat sangat disayangkan mAkanan terbuang...MBG distop saat libur anak kami tetap makan 3x Shari,"
105,5 hours ago,YouTube,Makan Bergizi Gratis,"Tidak usah jadi provokator, sengkarutlah, proyek silumanlah, masiflah  Pemerintah lebih tau dari kamu2"
106,5 hours ago,YouTube,Makan Bergizi Gratis,"Klau kondisi titik area MBG fiktif maka Pemerintah tidak ada yg mengecek didaerah daerah.
Keputusannya :
Koruptor MBG harus di hukum mati.
Rekan kerja yg tidak memenuhi syarat harus di berhentikan.
Kontrol lagi area area MBG dari sabang sampai maroke.
Re Budget atau anggaran dan detail anggarannya harus dibuat dulu.

Harus dievaluasi lagi mengenai MBG. Dipeesiapkan oleh pemerintah lagi makanannya atau diberi uang setiap bulan ke murid dimasing masing sekolah.

Dengan melihat kondisi MBG sekarang."
107,5 hours ago,YouTube,Makan Bergizi Gratis,Sudah gila dan ga wajar. Hak rakyat diambilin terus oleh para maling dengan cara yg sangat diluar akal sehat. Lebih baik stop dan direncanakan ulang dengan baik dan pengawasan yg ketat
108,5 hours ago,YouTube,Makan Bergizi Gratis,"😂😂😂 udah d niat kan, program balas jasa buat para ternak2 balik modal 😂😂😂ternak foya2 bos ngalibur k ln, lama2 kabur lagi"
109,5 hours ago,YouTube,Makan Bergizi Gratis,"Makanan buat rakyat dijadikan proyek dan anggarannya dr APBN😂...parah ide siapa sih ini implementasi program mbg, kdmp dan danantara ...triki"
110,5 hours ago,YouTube,Makan Bergizi Gratis,"Coba kalau di percaya sama sekolah dan wali murid pasti biaya murah dan sampai murid, ngak usah banyak pekerja, dan makan prasmanan murid bisa milih"
111,5 hours ago,YouTube,Makan Bergizi Gratis,Klau mbg gk di tutp klau negarA ini bangkrut siapA yg tanggung jawab
112,5 hours ago,YouTube,Makan Bergizi Gratis,Mbg terlalu ribet lebih baik di tutup aja
113,6 hours ago,YouTube,Makan Bergizi Gratis,Kerusakan dimana lagi yg ingin kalian dustakan/ tutupi???!!?
114,6 hours ago,YouTube,Makan Bergizi Gratis,Program mbg ladang korupsi bikin susah rakyat.. Stop bayar pajak
115,6 hours ago,YouTube,Makan Bergizi Gratis,KASIAN..PRESIDEN....DIMANFAATIN AMA KORUPTOR....padahal..niatnya mah baik....harusnya hukum mati koruptor
116,6 hours ago,YouTube,Makan Bergizi Gratis,"Tidak ada yg epektip,baiknya MBG dihentikan,nggak ada gunanya yg ada potensinya,korupsi pekerjaan pembangunan pemerintah nggak ada cuma sibuk ngurusin MBG,80thn Indonesia nggak ada tu MBG,stanting juga cuma3%"
117,6 hours ago,YouTube,Makan Bergizi Gratis,Ga mungkin mau diundang lah mas...DPR..TNI..Polri...smua dpt jatah dapur..😂semua maling dilindungi presiden
118,6 hours ago,YouTube,Makan Bergizi Gratis,Proyek balas budi...
119,6 hours ago,YouTube,Makan Bergizi Gratis,"DI DAERAH KABUPATEN KAMI DI JATIM BANYAK YG FIKTIF.

MOHON SEGERA DIPERHATIKAN - DITELUSURI!"
120,6 hours ago,YouTube,Makan Bergizi Gratis,"Ini baru MBG, urusan lain juga banyak oknum minta fee, meskipun nilai kecil tapi masif, dan seakan akan jadi standar kalau berurusan dengan pemda/pemerintah"
121,6 hours ago,YouTube,Makan Bergizi Gratis,Program gila.😂
122,2 hours ago,YouTube,Makan Bergizi Gratis,Ini contoh orang yg otak ya jongkok
123,4 hours ago,YouTube,Makan Bergizi Gratis,modus lo gampang di kenali wokkkk !!!!
124,4 hours ago,YouTube,Makan Bergizi Gratis,"hey... para buzzer...  ayooo kerja lo, cebokin tuh mbg jgn cuman makan gaji buta !!!!!!"
125,5 hours ago,YouTube,Makan Bergizi Gratis,"Yg bertanggung jawab iya tedy, kan gara2 di kasih tedy yg ganteng rakyat lupa diri, sampai mentri, presiden ulang tahun aja di rayakan pemerintah"
126,6 hours ago,YouTube,Makan Bergizi Gratis,"Wahai pemerintah urusin gajih guru pppk dan guru honorer,,efek MBG itu jd gajih guru terbengkalai,sekolah juga terbengkalai banyak sekolah yg harus di renovasi tapi sulit anggaran..😢😢bentar kopdes deh bermasalah anggarannya."
127,6 hours ago,YouTube,Makan Bergizi Gratis,"Ndasmu emang gue pikirin 
Pemimpin ndableg statement nya selalu seperti itu jika di kritik tapi katanya tidak anti kritik tapi ketika dikritik berubah jadi kakek-kakek tempramen dasar monokotil"
128,6 hours ago,YouTube,Makan Bergizi Gratis,Mmg  deseinnya utk 2029
129,6 hours ago,YouTube,Makan Bergizi Gratis,PREEEEEEEET…………
130,6 hours ago,YouTube,Makan Bergizi Gratis,Iyyaa kenapa gak dihentikan dlu yah... Betul kata nya hebtikan dlulah
131,6 hours ago,YouTube,Makan Bergizi Gratis,"Emang udah rusak di sistem sejak awalnya, terus yg begini masih dibilang sukses programnya???"
132,6 hours ago,YouTube,Makan Bergizi Gratis,TERLALU KELIRU YG MAU MBG …..KATANYA GA PUNYA DANA…….KO MEMAKSA SIIIIIIIH RAKUS AMAT YAAAAA……DULU GA ADA MBG AMAN2 AJA TUUUUUH…………
133,6 hours ago,YouTube,Makan Bergizi Gratis,MBG dihentikan harga sembako jd turun ini bukti MBG sangat merusak
134,7 hours ago,YouTube,Makan Bergizi Gratis,BETUUUUL DIKIRIM KE ORANG TUANYA ….BIAR ORG TUA YG MASAK ……..ITU AKAN FRESH DAN TDK AKAN BASIIIII………ATAU STOP DULU BMG NYAAAAAAAAA…..
135,7 hours ago,YouTube,Makan Bergizi Gratis,LUCU BANGET YAAAA….TUKANG MASAK PAKAI BAJU KAYA DIREKTUR KANTOR …..NORAK BANGETNYAAAA……
136,7 hours ago,YouTube,Makan Bergizi Gratis,Yg dukung mbg sdm rendah
